정답,문제,유사답안,출제연도,문제소분류,문제대분류,비고
반정규화,"정규화된 엔티티, 속성, 관계에 대해 시스템의 성능향상과 개발(Development)과 운영(Maintanance)의 단순화를 위해 중복, 통합, 분리 등을 수행하는 데이터 모델링의 기법",,2020년 1회,데이터베이스,데이터 입출력 구현,"둘 이상의 릴레이션들에 대하여 조인한 결과를 빈번하게 이용하는 경우, 반정규화 함으로써 질의응답 시간이 단축될 수 있다."
XML,"HTML의 단점을 보완한 언어로, SGML의 복잡한 단점을 개선한 다목적 마크업 언어이다. 웹상에서 구조화된 문서를  상호교환 가능하도록 설계된 웹 표준 문서 포맷으로 메타 데이터 정의가 명확하다. 사용자가 새로운 태그와 속성을 정의할 수 있는 확장성을 가진다. 유니코드를 사용하여 전 세계의 모든 문자를 처리 가능하며 장치와 시스템에 독립적이다.",,2020년 1회,프로그래밍언어,통합 구현,
살충제 패러독스,동일한 테스트 게이스로 동일한 절차를 반복 수행하면 새로운 결함을 찾을 수 없다는 것을 의미한다. 잠재된 수많은 결함을 발견하기 위해서는 테스트 케이스를 정기적으로 개선하는 것이 필요하다는 원리이다.,,2020년 1회,패러다임,서버프로그램 구현,같은 테스트케이스를 가지고 테스트를 계속해서 반복하면 내성으로 인해 결국은 버그가 발견되지 않는다. 이러한 현상을 방지하기 위해서는 테스터가 적극적 자세를 가지고 지속적으로 테스트케이스를 검토하고 개선해야한다. 
"결합도, 응집도","모듈화를 중심으로 하는 소프트웨어 설계 방법에서는 모듈의 독립성을 높게 해주는 것이 좋은 설계 방향이다. 모듈의 독립성을 높여주기 위해서는 각 모듈 간의 관련성을 나타내는 (1)은 낮추고, 모듈 안의 요소들이 서로 관련되어 있는 정도를 나타내는 (2)는 높이는 것이 가장 바람직하다.",,2020년 1회,모듈,서버프로그램 구현,
JSON,"( )은 데이터를 저장하거나 전송할 때 많이 사용되는 경량의 DATA 교환 방식이다. ( ) 표현식은 사람과 기계 모두 이해하기 쉬우며 소용량으로 최근에 XML을 대체해서 데이터 전송 등에 많이 사용한다. Ajax에서 서버와 통신하며 데이터 교환을 쉽게 하기 위해 ( )을 데이터 전송형식으로 많이 사용한다. ( )의 문법은 key와 value가 쌍으로 존재하며 태그로 표현하기 보다는 중괄호 같은 형식으로 하고, 값을 ‘,’로 나열하기에 그 표현이 간단하다.",,2020년 1회,프로그래밍언어,인터페이스 구현,
"처리량, 응답 시간, 경과 시간","(1)은 애플리케이션이 주어진 시간에 처리할 수 있는 트랜잭션의 수로, 웹 애플리케이션의 경우 시간당 페이지 수로 표현하기도 한다. (2)은 사용자 입력이 끝난 후 , 애플리케이션의 응답 출력이 개시될 때까지의 시간으로, 웹 애플리케이션의 경우 메뉴 클릭 시 해당 메뉴가 나타나기까지 걸리는 시간을 말한다. (3)은 애플리케이션에 사용자가 요구를 입력한 시점부터 트랜잭션 처리 후 그 결과의 출력이 완료 할 때까지 걸리는 시간을 말한다. 자원 사용율은 애플리케이션이 트랜잭션 처리하는 동안 사용하는 CPU 사용량, 메모리 사용량, 네트워크 사용량을 말한다.",,2020년 1회,애플리케이션 성능,애플리케이션 테스트 관리,"애플리케이션 성능이란 사용자의 요구 기능을 해당 애플리케이션이 최소의 자원을 사용하면서 얼마나 빨리, 많은 기능을 수행하는가를 육안 또는 도구를 통하여 점검하는 것을 말한다. 이를 측정하기 위한 지표는 (1), (2), (3), 자원 사용율이 있다."
랜드 어택,"( )은 네트워크 패킷의 출발지 IP를 변조하여 공격 대상의 자원을 소모시키는 공격으로 기밀성과 가용성을 침해하는 공격 유형이다.

주로 3-Way-Handshaking의 연결 지향적 특징을 가지는 서비스에서 발생된다.

( )은 출발지 IP 주소와 도착지 IP 주소가 동일한 특징이 있어 네트워크 모니터링 도구인 와이어샤크의 컨버세션(Conversations)기능을 통해 동일 IP 주소 간에 통신 여부를 체크하는 방법으로 공격 여부를 확인할 수 있다. 해당 패킷의 출발지와 도착지의 IP주소가 동일한 패킷을 기본적으로 차단하여 ( )을 막을 수 있다.",,2020년 1회,네트워크 공격 유형,소프트웨어 개발 보안 구축,
"구문, 의미, 타이밍",통신 프로토콜(Communication Protocol)은 컴퓨터나 원거리 통신 장비 사이에서 메시지를 주고받는 양식과 규칙의 체계이다. 통신 프로토콜을 구성하는 기본 요소 3가지를 쓰시오.,,2020년 1회,프로토콜,응용 SW 기초 기술 활용,
HRN,운영체제의 비선점 프로세스 스케줄링기법 중 하나로 어떤 작업이 서비스받을 시간과 그 작업이 서비스를 기다린 시간으로 결정되는 우선순위에 따라 CPU를 할당하는 기법이다.,,2020년 1회,스케줄링,응용 SW 기초 기술 활용,우선순위 계산식 = (대기시간 + 서비스시간) / 서비스시간
"원자성, 독립성","(1) : 트랜잭션의 가장 기본적인 특성으로 트랜잭션 내의 연산은 반드시 모두 수행되어야하며 그렇지 못한 경우 모두 수행되지 않아야 함.
일관성 : 트랜잭션이 정상적으로 완료된 후 언제나 일관성 있는 데이터베이스 상태가 되어야 하며, 결과에 모순이 생겨서는 안 됨
(2) : 하나의 트랜잭션이 수행 중에는 다른 트랜잭션이 접근할 수 없고 각각의 트랜잭션은 독립적이어야 함
영속성 : 지속성이라고도 하며, 트랜잭션이 성공적으로 완료된 후 결과는 지속적으로 유지되어야 함",,2020년 1회,트랜잭션,응용 SW 기초 기술 활용,
물리 계층,"OSI 7 참조 모델 중 두 장비 간의 전송을 위한 연결이나 전달 등의 인터페이스의 기계적, 전기적, 절차적 특성을 정의하며 비트를 물리적인 매체를 통해 전송하는 계층을 쓰시오.",,2020년 1회,OSI 7,응용 SW 기초 기술 활용,
헤더,"릴리즈 노트(Relese Note)는 고객 편의성을 고려하여 조직의 최종 사용자인 고객과 잘 정리된 릴리즈 정보를 공유하는 문서이다. 릴리즈 노트의 내용으로는 보통 특정 소프트웨어 릴리즈의 최근 변경 사항, 개선 사항 및 버그 수정을 간결히 요약되어 있다. 릴리즈 노트 작성 항목 중 문서 이름(릴리스 노트 이름), 제품 이름, 버전 번호, 릴리즈 날짜, 참고 날짜, 노트 버전 등을 기술하는 작성항목이 무엇인지 쓰시오. ",,2020년 1회,IT 용어,제품소프트웨어 패키징,
데이터 마이닝,"대량의 데이터에서 실제로 존재하지 않는 정보를 얻어내기 위해 각 데이터의 상관관계를 통계적 분석, 인공지능 기법 등을 통해 통계적 규칙(Rule)이나 패턴(Pattern)을 찾아내는 것이다.",,2020년 1회,IT 용어,정보처리 실무 일반(기타),
MD5,입력 데이터로부터 128비트의 축약 메시지인 해시 값을 생성하는 해시 함수로 주로 프로그램이나 파일이 원본 그대로인지를 확인하는 무결성 검사 용도로 많이 쓰이고 있다. 1990년 R. Rivert가 MD4를 일방향 해시함수로 개선한 알고리즘이 무엇인지 쓰시오.,,2020년 1회,알고리즘,정보처리 실무 일반(기타),
애자일,"( )은 작업 계획을 짧은 단위로 세우고 시제품을 만들어 나가는 사이클을 반복함으로써 고객의 요구 변화에 유연하고도 신속하게 대응하는 개발 방법론이다. 이와 반대되는 개념이 전통적 개발 방법론이라 할 ‘워터폴(Waterfall) 방식’이다.
( )은 소프트웨어 개발에 국한되지 않고 조직과 사업 등 기업경영 전반으로 사용 범위가 확산되고 있다.
( )은 짧은 개발 주기를 가지고 프로젝트 계획 수립과 진행에 있어서 최초의 프로젝트 일정 계획에 매이지 않고 고객 중심으로 계획을 융통성 있게 변경한다. 단계별 문서 산출물 확인보다는 해당 소프트웨어 코딩이 제대로 동작하는지(code-oriented) 고객에게 확인하는 과정을 꾸준히 진행한다.
( )은 프로젝트 진행 도중에 일부 결과물인 시제품을 고객에게 지속적이며 반복적으로 제공한다. 고객의 요구사항이 정확하게 반영되고 있는지 수시로 점검하게 된다.",,2020년 2회,SW 개발방법론,요구사항 확인,
"개념적 설계, 논리적 설계, 물리적 설계","다음은 데이터베이스 설계의 순서이다. 빈 칸 ( )에 부합하는 용어를 보기에서 골라 순서대로 쓰시오.
요구사항 분석 → (1) → (2) → (3) → 구현",,2020년 2회,데이터베이스,데이터 입출력 구현,
SOAP,"HTTP, HTTPS, SMTP 등을 사용하여 XML 기반의 메시지를 컴퓨터 네트워크 상에서 교환하는 형태의 프로토콜로써 Enveloper, Header, Body의 주요 3요소로 구성된 간접 연계 방식의 웹서비스의 기본적인 메시지 전송 수단을 의미하는 용어를 쓰시오.",,2020년 2회,프로토콜,통합 구현,
형상 관리,"소프트웨어 개발 과정에서 변경에 대비하기 위한 소프트웨어 ( )는 반드시 필요하다. ( )는 소프트웨어 품질 보증을 위한 주요한 요소이며, 주 임무는 변경의 통제이다. 소프트웨어 ( )란 소프트웨어 개발 과정에서 발생하는 산출물의 변경 사항을 관리하기 위한 일련의 활동을 말한다. 소프트웨어 리사이클 기간 동안 개발 되는 제품의 무결성을 유지하고 소프트웨어의 식별, 편성 및 수정을 통제하는 프로세스를 제공한다. 실수의 최소화와 생산성의 최대화가 ( )의 궁극적인 목표라고 할 수 있다. 대표적인 ( )도구로는 CVS, Subversion, Clear Case 등이 있다.",,2020년 2회,IT 용어,서버프로그램 구현,
AJAX,"‘비동시식 자바스크립트 XML’을 의미하는 용어로 클라이언트와 웹서버 간에 XML 데이터를 내부적으로 통신하는 대화식 웹 애플리케이션의 제작을 위해 사용된다. 클라이언트의 요청에 의해 웹 서버에서 로딩된 데이터를 웹 브라우저의 페이지에 보여주기 위해 웹 페이지 전체를 ‘새로고침’할 필요 없이 즉, 새로운 HTML 페이지로 이동할 필요 없이 현재 페이지에서 필요한 일부분만 로딩되도록 하는 웹 개발 기법을 의미하는 용어를 영문 약자로 쓰시오.",,2020년 2회, 웹 개발 기법,인터페이스 구현,
유효성,"UI(User Interface)는 사용자와 컴퓨터 상호 간의 소통을 원활히 할 수 있도록 도와주는 연계 작업을 뜻한다. 다음은 UI의 설계 원칙 4가지이다. 빈칸 괄호 ( ) 에 알맞은 용어를 쓰시오.

직관성 : 누구나 쉽게 이해하고 사용할 수 있어야 한다.
( ) : 사용자의 목적을 정확하게 달성하여야 한다.
학습성 : 누구나 쉽게 배우고 익힐 수 있어야 한다.
유연성 : 사용자의 요구사항을 최대한 수용하며, 오류를 최소화하여야 한다.",,2020년 2회,UI 설계 원칙,화면 설계,
정적 분석,"테스트 자동화 도구는 휴먼 에러(Human Error)를 줄이고, 테스트에 소요되는 비용과 시간을 절감하며, 테스트 품질을 향상할 수 있는 도구이다. 테스트 계획, 테스트 분석/설계, 테스트 수행, 테스트 통제 등의 테스트 활동 단계에 따라 다양한 테스트 도구들이 있다.
( )은 테스트 수행 단계의 자동화 도구로 만들어진 애플리케이션을 실행하지 않고 분석하는 방법이다. ( )은 대부분의 경우 소스 코드에 대한 코딩 표준, 런타임 오류, 코딩 스타일, 코드 복잡도 및 남은 결함을 발견하기 위하여 사용한다. ( )은 테스트를 수행하는 사람이 작성된 소스 코드에 대한 이해를 바탕으로 도구를 이용해서 분석하는 것을 말한다.",,2020년 2회,테스트 기법,애플리케이션 테스트 관리,
SQL 인젝션,"( )은 클라이언트(사용자)의 입력값 등 외부 입력값이 SQL쿼리에 삽입되어 공격하는 것을 의미한다.
( )은 공격자가 악의적으로 웹 사이트의 보안상 허점을 이용해 특정 SQL 질의문을 전송하여 공격자가 원하는 데이터베이스의 중요한 정보를 가져오는 공격 기법이다.",,2020년 2회,보안,소프트웨어 개발 보안 구축,
ROLLBACK,"SQL 제어어는 관리자가 데이터의 보안, 무결성 유지, 병행제어, 회복 등을 하기 위해 사용하는 언어를 말한다.
이 중 ( ) 명령어는 데이터베이스 내의 연산이 비정상적으로 종료되거나 정상적으로 수행이 되었다 하더라도 수행되기 이전 상태로 되돌리기 위해 연산 내용을 취소할 때 사용한다.
트랜잭션을 취소시키는 명령어로 메모리의 내용을 하드디스크에 저장하지 않고 버린다.",,2020년 2회,데이터베이스,응용 SW 기초 기술 활용,
IPSec,"네트워크 계층(network layer, 3계층)인 IP 계층에서 IP 패킷 단위로 ‘암호화’, ‘인증’, ‘키 관리’를 통해 보안성을 제공해주는 표준화된 기술을 무엇이라 하는지 쓰시오.",,2020년 2회,보안,응용 SW 기초 기술 활용,
안드로이드,리눅스 커널을 기반으로 동작하며 자바와 코틀린 언어로 개발된 핸드폰이나 소형기기에 사용되는 오픈소스 플랫폼인 모바일 운영체제가 무엇인지 쓰시오.,,2020년 2회,운영체제,응용 SW 기초 기술 활용,
목표 복구 시간,"데이터 백업(보호) 솔루션은 만일의 사대에 대비하여 시스템 내의 데이터 유실을 방지하고, 서비스의 연속성을 보장하는 목적을 가지고 어떤 상황에서도 계획된 ( )과 목표 복구 시점(RPO)을 보장해야 할 수 있는 제품이어야한다. ( )은 시스템 장애와 같은 상황에서의 “비상 사태 또는 업무중단 시점부터 업무가 복구되어 다시 정상가동 될 때까지의 시간”을 의미하는 용어이다. ROP는 조직에서 발생한 여러 가지 재난 상황으로 IT 시스템이 마비되었을 때 각 업무에 필요한 데이터를 여러 백업 수단을 활용하여 복구할 수 있는 기준점을 의미한다.","RTO, Recovery Time Objective, 복구 목표 시간",2020년 2회,IT 용어,정보처리 실무 일반(기타),
Observer,"디자인 패턴 중 ( )는 행위 패턴에 해당하며 1대 다(one-to-many)의 객체 의존관계를 정의한 것으로 한 객체가 상태를 변화시켰을 때, 의존관계에 있는 다른 객체들에게 자동으로 통지 알림이 전달되고 변경시킨다.
( )의 객체 간의 데이터 전달 방식은 푸시 방식과 풀 방식이 있으며, 기본적인 디자인의 원칙은 상호 작용하는 객체 사이에서는 가능하면 결합도를 느슨하게 디자인하여 사용해야 한다. 이는 느슨하게 결합(Loose coupling)하는 디자인을 사용하면 변경 사항이 생겨도 무난히 처리할 수 있는 유연한 객체지향 시스템을 구축할 수 있기 때문이다.",Observer Pattern,2020년 2회,디자인 패턴,정보처리 실무 일반(기타),
Linked Open Data,"웹 상에 존재하는 전세계 오픈된 정보를 하나로 묶는 RESTful한 방식이며, 링크 기능이 강조된 시맨틱 웹(Semantic Web)의 모형에 속한다고 볼 수 있다. 즉,( )는 “시맨틱 웹을 실현시키기 위한 방법이자 기술적 접근점”으로 볼 수 있다.
( )는 Linked Data와 Open Data의 합성어이다. Linked Data가 정보 기술적인 면이 강한 반면 Open Data는 정보 문화적인 면이 강한 용어이다.",,2020년 2회,신기술 동향,정보처리 실무 일반(기타),
형상 통제,"( )는 형상에 대한 변경 요청이 있을 경우 변경 여부와 변경 활동을 통제하는 것을 말한다.
( )는 형상 목록의 변경 요구를 검토 및 승인하여 현재의 소프트웨어 기준선에 반영될 수 있도록 통제하는 일련의 과정을 말한다.
변경된 요구사항에 대한 타당성을 검토하여 변경을 실행(변경 관리)하고, 그에 따라 변경된 산출물에 대한 버전관리를 수행하는 것이 ( )의 주요 활동이다.
( )는 소프트웨어 형상변경 요청을 검토 승인하여 현재의 베이스라인(Baseline)에 반영될 수 있도록 통제하는 것을 의미한다.",,2020년 3회,IT 용어,서버프로그램 구현,
직관성,"다음 설명에 맞는 UI의 설계 원칙은 무엇인지 쓰시오.

설계 구조를 누구나 쉽게 이해하고 사용할 수 있어야 한다. 
사용자가 한눈에 기능을 쉽게 파악할 수 있도록 해야한다.",,2020년 3회,UI 설계 원칙,화면 설계,
블랙박스 테스트,"소프트웨어 테스트 기법 중 프로그램의 외부 사용자 요구사항 명세를 보면서 테스트를 수행하며 주로 구현된 기능을 테스트한다. 명세 기반 테스트라고도 하며, 동치 분할 테스트, 경계 값 테스트 등과 같이 내부 구조를 보이지 않는 테스트 기법에 해당하는 용어를 쓰시오.",Black-box test,2020년 3회,테스트 기법,애플리케이션 테스트 관리,
생성자,객체 생성시 자동으로 호출되는 메소드로 멤버를 초기화하는 목적으로 주로 사용된다.,Constructor,2020년 3회,프로그래밍언어,프로그래밍 언어 활용,
스키마,"( )는 데이터베이스의 전체적인 구조와 제약조건에 대한 명세를 기술, 정의한 것을 말하며, 스킴(Scheme) 이라고도 한다.",Schema,2020년 3회,데이터베이스,응용 SW 기초 기술 활용,
÷,릴레이션 A에서 릴레이션 B의 모든 조건을 만족하는 튜플을 제외한 후 프로젝션하는 연산자,,2020년 3회,데이터베이스,응용 SW 기초 기술 활용,연산을 쓰라고 할 경우 디비젼 또는 DIVISON도 가능하다.
OSPF,대규모 네트워크를 안정되게 운영할 수 있는 표준 라우팅 프로토콜로 최적의 경로를 계산할 때 SPF(Shorest path First) 또는 다익스트라(dijkstra) 알고리즘을 이용하여 각 목적지까지의 최적 경로를 계산하는 동적 라우팅 프로토콜로 링크 상태 라우팅 프로토콜을 무엇이라고 하는지 영문 약자로 쓰시오.,,2020년 3회,프로토콜,응용 SW 기초 기술 활용,
ICMP,TCP/IP에서 신뢰성 없는 비 연결형 프로토콜인 IP를 대신하여 송신 측으로 네트워크의 IP 상태 및 에러 메시지를 전달해주는 프로토콜을 무엇이라고 하는지 영문 약어로 쓰시오.,,2020년 3회,프로토콜,응용 SW 기초 기술 활용,
헝가리안 표기법,"컴퓨터 프로그래밍의 변수명, 함수명 등의 식별자 이름을 작성할 때 데이터 타입의 정보를 이름 접두어로 지정하는 코딩의 규칙이다.

예를 들어 인덱스 역할을 하는 int형 변수명을 inum으로 문자열 변수명을 strName으로 이름을 지정하는 표기법이다.",,2020년 3회,IT 용어,정보처리 실무 일반(기타),
프로토콜,"( )의 본래 의미는 외교 분야에서의 의례 또는 의정서를 의미하는 용어였다. 심리학자 톰 마릴은 컴퓨터가 메시지를 전달하고, 메시지가 제대로 도착했는지 확인하며, 도착하지 않았을 경우 메시지를 재전송하는 일련의 방법을 가리켜 ‘기술적 은어’라는 뜻으로 ( )이라 불렀다.",,2020년 3회,프로토콜,정보처리 실무 일반(기타),
행위,"goF의 디자인 패턴은 생성, 구조, ( )가 있다. 생성 패턴은 객체의 생성에 관련된 패턴이고 구조 패턴은 클래스나 객체를 조합해 더 큰 구조를 만드는 패턴이며 ( ) 패턴은 클래스 사이의 알고리즘이나 책임 분배에 관련된 패턴이다.",,2020년 4회,디자인 패턴,요구사항 확인,
패키지 다이어그램,탭이 달린 폴더 안에 요소들을 집어넣어 표현하는 다이어그램으로 컴포넌트 구조 사이의 관계를 표현하며 요소들을 그룹으로 조직하기 위한 매커니즘의 UML 다이어그램이 무엇인지 쓰시오.,,2020년 4회,다이어그램,요구사항 확인,
샘플링 오라클,"테스트 오라클의 유형 중 전수 테스트가 불가한 경우 특정한 몇 개의 입력값에 대해서만 기대하는 결과를 제공해 주는 오라클로 경계값, 구간별 예상값 결과 작성시 사용하는 오라클을 무엇이라 하는지 쓰시오.",,2020년 4회,테스트 기법,애플리케이션 테스트 관리,
동치분할 테스트,"명세기반 테스트의 기법 중 프로그램의 입력 조건에 중점을 두고, 어느 하나의 입력 조건에 대하여 타당한 값과 그렇지 못한 값을 설정하여 해당 입력 자료에 맞는 결과가 출력되는지 확인하고 테스트하는 기법이다. 적용한 테스트 기법을 무엇이라 하는지 쓰시오.","동등분할 테스트, 등가분할 테스트",2020년 4회,테스트 기법,애플리케이션 테스트 관리,
스니핑,( )은 네트워크상에 통과하는 패킷들의 내용을 엿보는 행위이다. 이처럼 패킷을 엿봄으로써 로그인 과정 중의 계정명과 패스워드 정보를 비롯하여 주요 내용을 불법으로 추출할 수 있다.,,2020년 4회,보안,소프트웨어 개발 보안 구축,
"삽입이상, 삭제이상, 갱신이상",데이터베이스에서 릴레이션을 처리하는데 여러 문제를 초래하는 이상 현상 3가지를 쓰시오.,,2020년 4회,데이터베이스,응용 SW 기초 기술 활용,
즉시 갱신,"데이터 회복 기법은 트랜잭션들을 수행하는 도중 장애로 인해 손상된 데이터베이스를 손상되기 이전의 정상적인 상태로 복구시키는 작업을 말한다.
다양한 데이터 회복 기법 중 ( ) 회복 기법은 로그를 이용한 회복 기법으로 데이터베이스에 대한 갱신 로그를 저장함으로서 회복에 대비한다. 일반적으로 데이터베이스와 로그의 동시 손상을 대비하여 별도의 용 디스크에 로그를 저장할 수 있다.
( ) 회복 기법은 트랜잭션이 실행(활동) 상태에서 변경되는 내용을 그때그때 바로 데이터베이스에 적용하는 기법이다. 변경되는 모든 내용은 로그(Log)에 기록하여 장애 발생 시 로그(Log)의 내용을 토대로 회복시킨다.
( ) 회복 기법은 장애가 발생하면 로그 파일에 기록된 내용을 참조하여, 장애 발생 시점에 따라 Redo나 Undo를 실행하여 데이터베이스를 복구한다.",,2020년 4회,트랜잭션,응용 SW 기초 기술 활용,
IPv6,"IETF(Internet Engineering Task Force)에서 IP Address의 부족과 Mobile IP Address 구현 문제를 해결 방안으로 만들어진 IPv4를 보완하는 차세대 IP Address 주소 체계이다. 주소 유형은 유니캐스트, 멀티캐스트, 애니캐스트 3가지이며, 주소의 길이는 128bit이고 8개 그룹으로 배열되며 각 그룹은 16비트이다. 각 그룹은 4개의 16진수로 표현되며 그룹 간은 콜론(:)으로 구분된다. 패킷 전송 시 멀티캐스트를 사용한다. ",,2020년 4회,IP,응용 SW 기초 기술 활용,
UNIX,"1960년대 말 벨 연구소(Bell Labs)에서 개발된 운영체제로 다중 사용자, 멀티 태스킹 운영체제이다.
이식성이 높으며 대화식 운영체제로 서버 운영에 필수적인 CLI 인터페이스가 강력하다.
C언어라는 고급 프로그래밍 언어로 커널까지 대부분 작성된 운영체제이다.
파일 생성, 삭제, 보호 기능을 가지며, 디렉터리 구조는 계층적 트리 구조 형태이다.",,2020년 4회,운영체제,응용 SW 기초 기술 활용,
Hadoop,"PC처럼 가격이 싼 컴퓨팅 서버들과 저장장치들을 활용하여 가상화된 거대한 저장장치를 형성하고 그 안에 빅데이터(Big Data)를 상대적으로 쉽게 저장하고 활용하여 처리할 수 있도록 한 분산 파일 시스템이다.
2004년 미국 프로그래머 더그 컷팅이 방대한 데이터를 처리하기 위하여 구글의 맵리듀스(MapReduce) 등을 활용해 이를 개발하였다.",,2020년 4회,프레임워크,응용 SW 기초 기술 활용,
Block Chain,오픈소스 분산 컴퓨팅 기술로 분산처리와 암호화 기술을 동시에 적용한 분산 데이터베이스(Distributed Ledger)의 한 형태이다. 가상화폐의 거래 정보를 기록한 원장인 ‘블록’이라고 하는 소규모 데이터들이 특정 기관의 중앙 서버에서 공동으로 기록 관리하지 않고 P2P 방식을 기반으로 생성된 체인 형태의 연결고리 기반 분산 데이터 저장 환경에 저장하여 누구라도 임의로 수정할 수 없고 누구나 변경의 결과를 열람할 수 있는 기술이다. ,,2020년 4회,신기술 동향,응용 SW 기초 기술 활용,
